"","idx","a.mean","a.se","a.Bulk_ESS","a.Tail_ESS","a.Rhat","b.mean","b.se","b.Bulk_ESS","b.Tail_ESS","b.Rhat","samples"
"Aug6","2017-08",0.601084518875,0.0472853106010468,2307.56723457567,1357.44363582934,1.00127853218794,0.0877727259,0.00210170685266547,2120.7866750849,1695.98375237717,1.00167950501258,0
"Sep7","2017-09",0.601084518875,0.0472853106010468,2307.56723457567,1357.44363582934,1.00127853218794,0.0877727259,0.00210170685266547,2120.7866750849,1695.98375237717,1.00167950501258,0
"Oct8","2017-10",0.601084518875,0.0472853106010468,2307.56723457567,1357.44363582934,1.00127853218794,0.0877727259,0.00210170685266547,2120.7866750849,1695.98375237717,1.00167950501258,0
"Nov7","2017-11",0.601084518875,0.0472853106010468,2307.56723457567,1357.44363582934,1.00127853218794,0.0877727259,0.00210170685266547,2120.7866750849,1695.98375237717,1.00167950501258,0
"Dec7","2017-12",0.601084518875,0.0472853106010468,2307.56723457567,1357.44363582934,1.00127853218794,0.0877727259,0.00210170685266547,2120.7866750849,1695.98375237717,1.00167950501258,0
"Jan7","2018-01",0.601084518875,0.0472853106010468,2307.56723457567,1357.44363582934,1.00127853218794,0.0877727259,0.00210170685266547,2120.7866750849,1695.98375237717,1.00167950501258,0
"Feb7","2018-02",0.601084518875,0.0472853106010468,2307.56723457567,1357.44363582934,1.00127853218794,0.0877727259,0.00210170685266547,2120.7866750849,1695.98375237717,1.00167950501258,0
"Mar7","2018-03",0.601084518875,0.0472853106010468,2307.56723457567,1357.44363582934,1.00127853218794,0.0877727259,0.00210170685266547,2120.7866750849,1695.98375237717,1.00167950501258,0
"Apr7","2018-04",0.59884183925,0.0541874317017836,2852.72098171544,1884.13504892264,1.00058726475856,0.087725487775,0.00219369225232605,2402.14403305943,2537.5760827748,1.00105666309988,33.0555555555556
"May7","2018-05",0.769153212375,0.0706261604507601,2052.561212951,1025.02342672969,1.00346666028445,0.0875590786875,0.00242657372378765,1960.15572287522,1781.91115141072,1.00379086884988,87.6344086021505
"Jun7","2018-06",0.544858385625,0.0454236110903705,1810.92708242522,1024.31338173829,1.00111436941896,0.0874931170125,0.00239069769536335,1625.3623580147,1210.55876842849,1.00167200494978,87.3611111111111
"Jul7","2018-07",0.37723309225,0.0432376482514547,4536.16023561283,4060.74509982101,1.00009199784557,0.087667909225,0.00220033131920154,3495.53819793428,2753.04758525936,1.00028158881106,88.6424731182796
"Aug7","2018-08",0.574194035375,0.0400734550354087,1418.58709220845,616.269864548263,1.00293278964612,0.087822928925,0.00204469817665531,1292.30869563,700.216309991699,1.00307592434938,76.3440860215054
"Sep8","2018-09",0.573433211125,0.0458705632790735,603.742656932251,224.660070987734,1.00935741388253,0.0876726115875,0.00225872494037045,617.809493683131,298.553696416692,1.00975143439034,55.4166666666667
"Oct9","2018-10",0.595896243,0.0487608705552527,1402.24250271699,645.631077920184,1.00037258991731,0.0876438405125,0.00233231879202082,1415.89110095145,830.999720451822,1.0003790362836,94.1532258064516
"Nov8","2018-11",0.601720373625,0.0458500641538934,3020.04651939038,1786.34987860334,1.00180094923822,0.0880951848375,0.00191182962896216,2334.09431881638,2188.15020216725,1.00234823568482,95.4166666666667
"Dec8","2018-12",0.44596694125,0.046122583321298,2344.53676930984,1069.72619265498,1.0004379915975,0.0873613428875,0.00263607518960245,2491.07180949304,1406.46467584055,1.00071691085481,93.2123655913979
"Jan8","2019-01",0.6865342035,0.0745159981635396,4372.12203931133,3068.59779891939,1.00098754585921,0.0877236747,0.00227617491522906,3517.20901000656,3569.59422479409,1.00049935813194,87.2311827956989
"Feb8","2019-02",0.454265361375,0.0498375893350377,3459.45442640364,2085.36563023844,1.0005458339857,0.0874854109,0.00244337953768072,3082.26436019239,2984.85755485977,1.00037117126779,91.2202380952381
"Mar8","2019-03",0.3761062565,0.037392291783783,1929.50660154759,986.37583024863,1.00140798541552,0.087542270425,0.00240741026671388,2006.37510961937,1515.59279156376,1.00103388292436,93.010752688172
"Apr8","2019-04",0.4866366665,0.0392456507397034,3082.44992606246,1962.29298442476,1.00083180479715,0.0877982803875,0.00206459669864179,2737.08766502073,2543.7498401409,1.00095911938392,93.6805555555556
