"","idx","Pm.mean","Pm.se","Pm.Bulk_ESS","Pm.Tail_ESS","Pm.Rhat","alpha.mean","alpha.se","alpha.Bulk_ESS","alpha.Tail_ESS","alpha.Rhat","Icomp.mean","Icomp.se","Icomp.Bulk_ESS","Icomp.Tail_ESS","Icomp.Rhat","samples"
"Jul5","2010-07",-2.49971986186025,3.13643309184232,476.384340027043,452.712742915643,1.00232944297723,0.00040896211873375,0.000911684012296073,505.236222370717,498.395726666367,1.00023343343583,141.3945779075,82.4643741732552,1088.88065529245,725.991103226109,1.00416386178817,30.3763440860215
"Aug5","2010-08",-2.3872926982235,3.1313713434661,545.922390876085,486.312592430497,1.00040987298148,0.0004754113691077,0.0010393508044705,527.194192620505,572.631366749828,1.00054370200781,148.841830916,89.3140979391228,1053.92154944643,699.67643932351,1.00281996379163,97.6478494623656
"Sep5","2010-09",-2.7079512970138,3.24773668952153,710.187600100416,722.46599974913,1.00013986050894,0.00045907012572475,0.000882110825607347,644.374560560213,846.368056053833,0.99995158009572,143.209380904,88.4399425605408,951.369954371952,667.022108749377,0.999824422850823,34.4444444444444
"Oct6","2010-10",-2.560504039534,3.19401406835833,637.774101988323,546.767067865476,0.999648949806918,0.00042801024630705,0.000956685855077254,559.095164710117,764.701848646692,0.999871574612072,139.239683871,83.582357356623,1199.48380883168,816.88918186881,1.00060471441936,23.8575268817204
"Sep6","2016-09",-2.560504039534,3.19401406835833,637.774101988323,546.767067865476,0.999648949806918,0.00042801024630705,0.000956685855077254,559.095164710117,764.701848646692,0.999871574612072,139.239683871,83.582357356623,1199.48380883168,816.88918186881,1.00060471441936,0
"Oct7","2016-10",-2.560504039534,3.19401406835833,637.774101988323,546.767067865476,0.999648949806918,0.00042801024630705,0.000956685855077254,559.095164710117,764.701848646692,0.999871574612072,139.239683871,83.582357356623,1199.48380883168,816.88918186881,1.00060471441936,0
"Nov6","2016-11",-2.560504039534,3.19401406835833,637.774101988323,546.767067865476,0.999648949806918,0.00042801024630705,0.000956685855077254,559.095164710117,764.701848646692,0.999871574612072,139.239683871,83.582357356623,1199.48380883168,816.88918186881,1.00060471441936,0
"Dec6","2016-12",-2.560504039534,3.19401406835833,637.774101988323,546.767067865476,0.999648949806918,0.00042801024630705,0.000956685855077254,559.095164710117,764.701848646692,0.999871574612072,139.239683871,83.582357356623,1199.48380883168,816.88918186881,1.00060471441936,0
"Jan6","2017-01",-2.560504039534,3.19401406835833,637.774101988323,546.767067865476,0.999648949806918,0.00042801024630705,0.000956685855077254,559.095164710117,764.701848646692,0.999871574612072,139.239683871,83.582357356623,1199.48380883168,816.88918186881,1.00060471441936,0
"Feb6","2017-02",-2.60677155354625,3.16572526957541,330.299115497191,451.363668863481,1.00073731095186,0.0004726311980885,0.00106976999488638,329.714714967086,521.074752739382,1.00189731041584,148.8896621605,88.9088448748707,437.412175436665,479.697994677229,1.00055160745965,61.3095238095238
"Mar6","2017-03",-2.2433661902515,2.99084362993048,490.094567306457,619.620691624835,1.00139227515988,0.0003447627684705,0.000756082257590503,465.673504360326,767.81797925173,1.00036861200118,142.02327097,83.6536485445106,1044.17167003032,610.271628365486,1.00092609027687,94.4220430107527
"Apr6","2017-04",-2.2939413079607,3.19138958621109,342.877294000605,367.714463902527,1.00114471605686,0.00043838683824105,0.000948555433497859,340.926633961349,549.795875471786,1.00097319437978,140.593949089,84.9541356736961,782.261358657842,503.550404923275,1.00195827759371,94.5833333333333
"May6","2017-05",-2.20853052904875,3.10966399333806,413.833595277974,340.232515469686,1.0020128012812,0.00031609368941655,0.000709839953237509,455.876619657604,639.86578041802,1.00004284963302,136.8347740245,82.9177871703617,415.414994882411,413.69357308871,1.00084373919451,93.8844086021505
"Jun6","2017-06",-2.36858907252775,3.15525786449544,386.511933309645,439.125532285641,1.00201014880879,0.0004560675870635,0.000992870260209345,416.858550258479,597.559205993574,1.00440370509363,145.939154845,86.9119208005914,975.059352607038,668.568569523184,0.999893566350534,89.0972222222222
"Jul6","2017-07",-2.2167123635118,3.01610718015782,366.402238845092,275.591772021363,0.999834835493279,0.00061088017687195,0.0013096213683146,340.358389321293,548.92460438135,1.00030922992037,140.268945298,83.4987831907734,795.794163382267,596.514380667804,1.00038808246432,58.1989247311828
"Aug6","2017-08",-2.2167123635118,3.01610718015782,366.402238845092,275.591772021363,0.999834835493279,0.00061088017687195,0.0013096213683146,340.358389321293,548.92460438135,1.00030922992037,140.268945298,83.4987831907734,795.794163382267,596.514380667804,1.00038808246432,0
"Sep7","2017-09",-2.2167123635118,3.01610718015782,366.402238845092,275.591772021363,0.999834835493279,0.00061088017687195,0.0013096213683146,340.358389321293,548.92460438135,1.00030922992037,140.268945298,83.4987831907734,795.794163382267,596.514380667804,1.00038808246432,0
"Oct8","2017-10",-2.2167123635118,3.01610718015782,366.402238845092,275.591772021363,0.999834835493279,0.00061088017687195,0.0013096213683146,340.358389321293,548.92460438135,1.00030922992037,140.268945298,83.4987831907734,795.794163382267,596.514380667804,1.00038808246432,0
"Nov7","2017-11",-2.2167123635118,3.01610718015782,366.402238845092,275.591772021363,0.999834835493279,0.00061088017687195,0.0013096213683146,340.358389321293,548.92460438135,1.00030922992037,140.268945298,83.4987831907734,795.794163382267,596.514380667804,1.00038808246432,0
"Dec7","2017-12",-2.2167123635118,3.01610718015782,366.402238845092,275.591772021363,0.999834835493279,0.00061088017687195,0.0013096213683146,340.358389321293,548.92460438135,1.00030922992037,140.268945298,83.4987831907734,795.794163382267,596.514380667804,1.00038808246432,0
"Jan7","2018-01",-2.2167123635118,3.01610718015782,366.402238845092,275.591772021363,0.999834835493279,0.00061088017687195,0.0013096213683146,340.358389321293,548.92460438135,1.00030922992037,140.268945298,83.4987831907734,795.794163382267,596.514380667804,1.00038808246432,0
"Feb7","2018-02",-2.2167123635118,3.01610718015782,366.402238845092,275.591772021363,0.999834835493279,0.00061088017687195,0.0013096213683146,340.358389321293,548.92460438135,1.00030922992037,140.268945298,83.4987831907734,795.794163382267,596.514380667804,1.00038808246432,0
"Mar7","2018-03",-2.2167123635118,3.01610718015782,366.402238845092,275.591772021363,0.999834835493279,0.00061088017687195,0.0013096213683146,340.358389321293,548.92460438135,1.00030922992037,140.268945298,83.4987831907734,795.794163382267,596.514380667804,1.00038808246432,0
"Apr7","2018-04",-2.503338774541,3.24059717742265,696.143995951067,585.00646210823,1.00049828198545,0.00034545712355695,0.000755739125865648,673.076822443605,727.679980873767,1.00313832483039,135.8375064535,82.8810808346221,1053.60508582797,611.132784623035,0.999925425028272,33.0555555555556
"May7","2018-05",-2.52874552276885,3.16670621630831,507.107796652624,390.919403336283,1.00009093324428,0.0005495357970585,0.00112916893631246,556.027047553915,590.379033230306,0.999576566086092,142.567954259,82.5108998993499,620.011092252041,442.088320859621,1.00339835875397,87.6344086021505
"Jun7","2018-06",-2.19306023562349,3.00512795772193,516.05150870452,476.364253540266,0.999669437841559,0.00042162014451875,0.00102876867816352,519.723987062635,513.537850158324,0.99961817110407,135.7139033465,79.2840036568482,1035.3566609786,620.136474120594,0.999782974550497,87.3611111111111
"Jul7","2018-07",-2.2245401386186,3.10571021553109,415.603083007021,457.440993487901,1.00141874462037,0.0003802270338681,0.0008534972636911,461.202732432474,740.042407964256,1.00036360219254,143.360245996,86.8470986460163,989.985849609708,671.201093243779,1.00035253304318,88.6424731182796
"Aug7","2018-08",-1.10683027872,2.19506430234627,11.5517761115519,54.1586378441069,1.01887978069014,0.00059281814236685,0.000878556660882101,17.9422927232301,161.688474353239,1.01545708873112,149.798610255,79.4101242566731,47.8168205127029,27.4352017866641,1.02666431243853,76.3440860215054
"Sep8","2018-09",-2.394383673316,3.17973970241817,484.890668484833,461.456839060683,1.00026550435882,0.0004802630306563,0.000945886371279532,459.445651344074,602.567009534218,1.00000369306859,136.804440992,85.6820629750708,966.344170091844,714.242697525023,0.999502190073477,55.4166666666667
"Oct9","2018-10",-2.5230224163,2.96100178903108,52.8811737067288,110.026431559383,1.00904145824928,0.000158938747949,0.000359100555615402,71.7301918191441,147.455682860055,1.01488466357495,153.236896405,82.7017001445591,177.514989213313,138.738318876464,1.00558938367084,94.1532258064516
"Nov8","2018-11",-2.3249544385667,3.22542988848175,653.753156483803,885.694265609282,0.999659342299131,0.000523327640733865,0.00108716588499462,622.772970636048,960.085462325334,0.999571537878355,158.2025128055,88.9076624932338,785.556588566047,723.305634159812,0.999947029272286,95.4166666666667
"Dec8","2018-12",-2.704712025769,3.36031061483525,299.628070660128,570.585919209444,1.00170698686385,0.0005792889105641,0.00122252018683619,328.441680274223,578.312602388393,1.00018082056734,187.3975358675,123.569925503439,134.173199143819,73.9302176706228,1.00015279810216,93.2123655913979
"Jan8","2019-01",-2.391231898352,3.16858536129417,557.235911008811,615.863307350133,1.01463220536548,0.00055260368940755,0.0012825479832743,591.171367267451,852.836247617359,1.01536218624827,153.1652285245,89.4689591963889,1143.24209827547,767.730728321261,1.00017459717323,87.2311827956989
